722f3b6,chandailrc,2024-07-26,Re-Fixed request url in frontend's conversation views
595ce80,chandailrc,2024-07-26,Fixed request url in frontend's conversation views
29425c1,chandailrc,2024-07-26,**** Re-did conversations app. Fixed util names. Changed model name from Email to SentEmail in sending app
c650703,chandailrc,2024-07-26,Added conversations app
5e16954,chandailrc,2024-07-25,Unable to fix csrf protect for fetch_emails frontend. Making receiving fetch csrf_exempt
656efad,chandailrc,2024-07-25,**** Added csrf for receiving; Redid models sending/receiving app; Added support for cc and bcc AND replying to received mail in sending app. And more
c80fea5,chandailrc,2024-07-25,Updated with CSRF exemption. Will include CSRF later
1efdf65,chandailrc,2024-07-25,Fixed path in frontend view requests to backend receiving api
acc8eeb,chandailrc,2024-07-25,Changed email_management to html and css. Also implemented frontend-backend API based non-REST functionality
632238d,chandailrc,2024-07-25,Updated IMAP variables to match settings.py
7181420,chandailrc,2024-07-25,Added IMAP variables to settings.py
0f7703b,chandailrc,2024-07-25,Change teh reset_db command and added it to the build script
7ed4a60,chandailrc,2024-07-25,Adding receiving app with some supporting frontend changes
9c21123,chandailrc,2024-07-24,Moving back to working on 'receiving' app
8279463,chandailrc,2024-07-20,Added unsubscribers app to handle subscriptions
60221f6,chandailrc,2024-07-20,Added functionality to delete individual unsubscribed users
bfc5d77,chandailrc,2024-07-19,Created front and back end for sending and tracking
21b23f4,chandailrc,2024-07-18,First commit to new branch with updated code for API
eae4d3d,chandailrc,2024-07-17,Added more details parsed from request. Added page to view details in dashboard per email. Added sender to dashboard
9feaade,chandailrc,2024-07-16,Added a custom header paramter to response cache-buster
77df5d8,chandailrc,2024-07-16,Going back to the new plain html tracking pixel. Issue with gmail tracking caused by Mozilla since tracking working in other browsers/mobile
e43ed26,chandailrc,2024-07-16,Gmail still caching. Changing cache control parameters. And Removing logo image
6ccae52,chandailrc,2024-07-16,rolling back both image tags in email_utils completely to the last functional state
ff43c0b,chandailrc,2024-07-15,No css confirmed messing with gmail. Adding css back in img tag
8ab5393,chandailrc,2024-07-15,Another try with no css in img tag for pixel
a4c5d3a,chandailrc,2024-07-15,Last commit didn't fix issue with gmail. Reverting to add style parameter in img tag to check if it fixes it back
fc10fa2,chandailrc,2024-07-15,Changing the logo image tag in email_utils to add css in order to force recipient client to load the image
2fc95d3,chandailrc,2024-07-15,Updated pixel link to try to fix apple delivery
2f2d5c3,chandailrc,2024-07-15,Added settings for IONOS mail. Added mailgun functionality
128ad72,chandailrc,2024-07-14,Updated code in handle_tracking to match serve_image for creating response
dc7af46,chandailrc,2024-07-14,Fixed bug in urls.py in logger for link tracking requests
74ab4bd,chandailrc,2024-07-14,Removed debug from affecting static_root
f7ccaf6,chandailrc,2024-07-14,Fixed bug in the view serving logo
78908b2,chandailrc,2024-07-14,Updating requrirements.txt
f6961ed,chandailrc,2024-07-14,Mailgun setup complete for SMTP and API
561829f,chandailrc,2024-07-11,Reverting to original combination
54e0fc3,chandailrc,2024-07-11,Testing response header combination - private
34a2e5b,chandailrc,2024-07-11,Testing response header combination - only must-revalidate
c96921e,chandailrc,2024-07-11,Testing response header combination - only cache-control
aef8940,chandailrc,2024-07-11,Changed response from HttpRespone to FileResponse in views fro image files including tracking pixel
b9ecadc,chandailrc,2024-07-11,Corrected the email configurations in settings.py back to gmail
5851560,chandailrc,2024-07-11,Added headers to image serving to test if it makes a difference
6fcdc94,chandailrc,2024-07-11,Added logo.png to email template for image testing. Added functioniality to flush usubscribed users
a6cf221,chandailrc,2024-07-10,Fixed handle tracking logs to show the current time difference for MultihitCheck
ffe8cb7,chandailrc,2024-07-10,Updated handle_tracking view with logs for multihit and adjusted time threshold
d81bc91,chandailrc,2024-07-10,Removed intentional test delay from send_tracked_email
9d83080,chandailrc,2024-07-10,Updated env variables in settings.py
aeb17c9,chandailrc,2024-07-09,Updated correct settings.py
1b03453,chandailrc,2024-07-09,Updated requirements.txt
45f5b0f,chandailrc,2024-07-09,First push for RENDER
